id,manufacturer,model,price,seats,reach,cruise,takeoff,hourly,base
avanti,Piaggo,Avanti II,7195,8,2797,589,994,977,YSN
baron,Beechcraft,Baron,1350,4,1948,373,701,340,YSN
caravan,Cessna,Grand Caravan EX,2300,14,1689,340,660,389,YSN
citation,Cessna,Citation M2,3200,7,1550,748,978,1122,YSN
kingair,Beechcraft,King Air C90,3900,12,2446,500,1402,990,YSN
mustang,Cessna,Citation Mustang,2770,4,2130,630,950,1015,YSN
pc12ng,Pilatus,PC-12 NG,3300,9,4147,500,450,727,YSN
phenom100,Embraer,Phenom 100,2980,4,2148,704,1036,926,YSN
